te_date,te_time,te_open,te_high,te_low,te_close,te_volume,predict
2021-02-24,01:00:00,16282.0,16248.0,16246.0,16292.0,3673,0
2021-02-24,02:00:00,16247.0,16292.0,16235.0,16297.0,2194,0
2021-02-24,03:00:00,16291.0,16311.0,16277.0,16314.0,1546,0
2021-02-24,04:00:00,16309.0,16322.0,16309.0,16360.0,3900,0
2021-02-24,05:00:00,16322.0,16331.0,16322.0,16331.0,98,0
2021-02-24,08:00:00,16300.0,16296.0,16281.0,16312.0,6139,0
2021-02-24,09:00:00,16295.0,16395.0,16283.0,16435.0,49288,0
2021-02-24,10:00:00,16393.0,16296.0,16259.0,16413.0,37886,0
2021-02-24,11:00:00,16297.0,16228.0,16210.0,16323.0,32576,-1
2021-02-24,12:00:00,16228.0,16192.0,16133.0,16253.0,34166,-1
2021-02-24,13:00:00,16190.0,16182.0,16142.0,16201.0,18897,-1
2021-02-24,15:00:00,16150.0,16185.0,16139.0,16211.0,6730,-1
2021-02-24,16:00:00,16185.0,16217.0,16179.0,16225.0,4661,0
2021-02-24,17:00:00,16217.0,16241.0,16206.0,16248.0,3732,0
2021-02-24,18:00:00,16241.0,16238.0,16236.0,16258.0,2157,0
2021-02-24,19:00:00,16238.0,16224.0,16219.0,16245.0,2037,0
2021-02-24,20:00:00,16224.0,16255.0,16221.0,16267.0,3216,0
2021-02-24,21:00:00,16255.0,16170.0,16166.0,16260.0,5771,0
2021-02-24,22:00:00,16170.0,16180.0,16155.0,16207.0,9553,0
2021-02-24,23:00:00,16179.0,16229.0,16148.0,16232.0,8955,0
2021-02-25,00:00:00,16230.0,16277.0,16227.0,16290.0,6960,0
2021-02-25,01:00:00,16277.0,16293.0,16274.0,16305.0,3742,0
2021-02-25,02:00:00,16292.0,16295.0,16261.0,16303.0,2147,0
2021-02-25,03:00:00,16297.0,16298.0,16278.0,16310.0,1656,0
2021-02-25,04:00:00,16299.0,16329.0,16297.0,16330.0,1912,0
2021-02-25,05:00:00,16330.0,16332.0,16327.0,16332.0,111,0
2021-02-25,08:00:00,16388.0,16392.0,16375.0,16403.0,8039,0
2021-02-25,09:00:00,16394.0,16285.0,16273.0,16422.0,46834,0
2021-02-25,10:00:00,16286.0,16305.0,16264.0,16360.0,24832,0
2021-02-25,11:00:00,16303.0,16291.0,16243.0,16310.0,21730,0
2021-02-25,12:00:00,16293.0,16355.0,16291.0,16359.0,15095,0
2021-02-25,13:00:00,16356.0,16388.0,16343.0,16398.0,17380,0
2021-02-25,15:00:00,16394.0,16368.0,16350.0,16397.0,4269,0
2021-02-25,16:00:00,16368.0,16350.0,16338.0,16375.0,3510,0
2021-02-25,17:00:00,16351.0,16358.0,16340.0,16359.0,2307,0
2021-02-25,18:00:00,16357.0,16382.0,16351.0,16382.0,2384,0
2021-02-25,19:00:00,16382.0,16360.0,16348.0,16390.0,3160,0
2021-02-25,20:00:00,16360.0,16360.0,16352.0,16371.0,1794,0
2021-02-25,21:00:00,16360.0,16362.0,16345.0,16373.0,2335,0
2021-02-25,22:00:00,16363.0,16364.0,16352.0,16378.0,3215,0
2021-02-25,23:00:00,16365.0,16316.0,16290.0,16367.0,10274,0
2021-02-26,00:00:00,16316.0,16273.0,16263.0,16330.0,6057,0
2021-02-26,01:00:00,16275.0,16194.0,16187.0,16280.0,8306,0
2021-02-26,02:00:00,16194.0,16189.0,16158.0,16212.0,6280,-1
2021-02-26,03:00:00,16187.0,16209.0,16178.0,16252.0,4473,0
2021-02-26,04:00:00,16212.0,16126.0,16098.0,16213.0,6619,0
2021-02-26,05:00:00,16125.0,16120.0,16115.0,16125.0,122,-1
2021-02-26,08:00:00,16037.0,16083.0,15996.0,16085.0,13831,-1
2021-02-26,09:00:00,16084.0,15968.0,15852.0,16118.0,85599,0
2021-02-26,10:00:00,15965.0,15981.0,15938.0,16054.0,35451,0
2021-02-26,11:00:00,15981.0,15976.0,15944.0,16027.0,19756,0
2021-02-26,12:00:00,15976.0,15932.0,15912.0,16005.0,18666,0
2021-02-26,13:00:00,15931.0,15935.0,15878.0,15959.0,24150,0
2021-02-26,15:00:00,15931.0,15946.0,15902.0,15980.0,7246,0
2021-02-26,16:00:00,15946.0,15987.0,15924.0,15999.0,5917,0
2021-02-26,17:00:00,15987.0,15964.0,15953.0,15994.0,3726,0
2021-02-26,18:00:00,15963.0,15914.0,15911.0,15967.0,3769,0
2021-02-26,19:00:00,15914.0,15807.0,15746.0,15926.0,13473,0
2021-02-26,20:00:00,15808.0,15835.0,15798.0,15879.0,9118,-1
2021-02-26,21:00:00,15835.0,15911.0,15805.0,15920.0,7915,0
2021-02-26,22:00:00,15910.0,15885.0,15867.0,15950.0,11975,0
2021-02-26,23:00:00,15884.0,15874.0,15788.0,15889.0,14538,0
2021-02-27,00:00:00,15875.0,15887.0,15837.0,15914.0,8347,0
2021-02-27,01:00:00,15886.0,15883.0,15881.0,15938.0,4632,0
2021-02-27,02:00:00,15882.0,15895.0,15850.0,15925.0,3854,0
2021-02-27,03:00:00,15894.0,15896.0,15848.0,15910.0,2996,0
2021-02-27,04:00:00,15898.0,15934.0,15878.0,15976.0,3176,0
2021-02-27,05:00:00,15933.0,15926.0,15926.0,15933.0,69,0
2021-03-02,08:00:00,16249.0,16231.0,16211.0,16277.0,11419,0
2021-03-02,09:00:00,16232.0,16121.0,16100.0,16240.0,42882,0
2021-03-02,10:00:00,16122.0,16049.0,16048.0,16188.0,30541,0
2021-03-02,11:00:00,16050.0,16068.0,16033.0,16085.0,20175,-1
2021-03-02,12:00:00,16069.0,15999.0,15998.0,16095.0,15294,0
2021-03-02,13:00:00,16001.0,15907.0,15868.0,16011.0,25856,-1
2021-03-02,15:00:00,15935.0,15914.0,15905.0,15948.0,5487,-1
2021-03-02,16:00:00,15914.0,15929.0,15907.0,15976.0,5747,-1
2021-03-02,17:00:00,15929.0,15957.0,15922.0,15967.0,3713,0
2021-03-02,18:00:00,15957.0,15982.0,15947.0,15992.0,3100,0
2021-03-02,19:00:00,15983.0,15986.0,15971.0,16000.0,2687,0
2021-03-02,20:00:00,15986.0,16004.0,15985.0,16014.0,2541,0
2021-03-02,21:00:00,16005.0,15995.0,15971.0,16007.0,3427,0
2021-03-02,22:00:00,15995.0,16006.0,15969.0,16033.0,8316,0
2021-03-02,23:00:00,16007.0,15980.0,15950.0,16018.0,6856,0
2021-03-03,00:00:00,15980.0,15955.0,15935.0,15980.0,4803,0
2021-03-03,01:00:00,15956.0,15980.0,15942.0,16001.0,2425,0
2021-03-03,02:00:00,15980.0,15992.0,15976.0,16021.0,1956,0
2021-03-03,03:00:00,15991.0,15990.0,15968.0,15997.0,1177,0
2021-03-03,04:00:00,15988.0,15975.0,15950.0,15999.0,2143,0
2021-03-03,08:00:00,16000.0,16009.0,15981.0,16030.0,6850,0
2021-03-03,09:00:00,16010.0,15979.0,15885.0,16020.0,46448,0
2021-03-03,10:00:00,15979.0,16072.0,15944.0,16078.0,32406,0
2021-03-03,11:00:00,16072.0,16109.0,16058.0,16147.0,28475,0
2021-03-03,12:00:00,16109.0,16155.0,16108.0,16165.0,17571,0
